lr,val_mae,val_rmse,epoch,step,train_mae,train_rmse,test_mae,test_rmse
0.009999996051192284,11.513940811157227,14.535133361816406,0,179,,,,
,,,0,179,421.0235595703125,439.4374084472656,,
0.009999996051192284,40.18988037109375,42.386924743652344,1,359,,,,
,,,1,359,27.166059494018555,30.566354751586914,,
0.009999996051192284,13.303909301757812,15.992403030395508,2,539,,,,
,,,2,539,20.70649528503418,23.721538543701172,,
0.009999996051192284,15.991063117980957,19.096288681030273,3,719,,,,
,,,3,719,18.44667625427246,21.256105422973633,,
0.009999996051192284,15.67853832244873,18.87127113342285,4,899,,,,
,,,4,899,18.66402244567871,21.46710968017578,,
0.009999996051192284,246.08352661132812,270.8160705566406,5,1079,,,,
,,,5,1079,488.6205749511719,504.4760437011719,,
0.009999996051192284,98.07902526855469,111.17230987548828,6,1259,,,,
,,,6,1259,135.2529754638672,155.95773315429688,,
0.009999996051192284,65.51680755615234,73.94969940185547,7,1439,,,,
,,,7,1439,47.754051208496094,57.822261810302734,,
0.002499999012798071,11.58941650390625,15.54414176940918,8,1619,,,,
,,,8,1619,21.22154998779297,26.449695587158203,,
0.002499999012798071,28.627626419067383,30.82748031616211,9,1799,,,,
,,,9,1799,13.051498413085938,16.42981719970703,,
0.002499999012798071,15.795336723327637,18.752382278442383,10,1979,,,,
,,,10,1979,12.418614387512207,15.387459754943848,,
0.002499999012798071,11.123321533203125,14.691313743591309,11,2159,,,,
,,,11,2159,10.572656631469727,13.48365306854248,,
0.002499999012798071,15.929481506347656,18.001590728759766,12,2339,,,,
,,,12,2339,9.515312194824219,12.224747657775879,,
0.002499999012798071,16.56847381591797,19.457965850830078,13,2519,,,,
,,,13,2519,11.991597175598145,14.751642227172852,,
0.002499999012798071,9.754181861877441,12.863696098327637,14,2699,,,,
,,,14,2699,10.457595825195312,13.057729721069336,,
0.002499999012798071,7.150833606719971,9.558724403381348,15,2879,,,,
,,,15,2879,9.219382286071777,11.895227432250977,,
0.002499999012798071,7.109837532043457,9.865798950195312,16,3059,,,,
,,,16,3059,10.215641975402832,12.806264877319336,,
0.002499999012798071,22.964773178100586,25.102781295776367,17,3239,,,,
,,,17,3239,9.698363304138184,12.119970321655273,,
0.002499999012798071,11.016536712646484,13.694555282592773,18,3419,,,,
,,,18,3419,9.347090721130371,11.743549346923828,,
0.002499999012798071,15.614325523376465,18.264747619628906,19,3599,,,,
,,,19,3599,8.804167747497559,11.269675254821777,,
0.002499999012798071,11.426421165466309,13.512598037719727,20,3779,,,,
,,,20,3779,9.851537704467773,12.168678283691406,,
0.002499999012798071,7.9296488761901855,10.317117691040039,21,3959,,,,
,,,21,3959,11.007269859313965,13.67357063293457,,
